batch_id,payload
37,"10555/06476/017331/0017057/17741/1837/013988/0011639/5586/003819/04365/14062/0008119/0006789/9647/11848/7864/2709/00241/18909/3028/9988/9836/19341/0003776/011630/12194/17708/017959/02297/03998/019344/0541/3453/0019970/0017720/8468/6619/012224/15457/16149/14033/017422/10943/014805/9981/7562/0004276/10802/15954/00660/5031/1516/09049/0014399/2105/018028/12100/18259/000785/0015406/4375/0004359/10053/008804/12329/016032/19024/3444/2875/0018859/0010710/07745/008190/017413/019838/0003190/11508/6730/2101/012227/17318/18220/016772/11608/0018092/03743/0018702/4327/3238/4322/387/3029/4214/0001088/004311/008218/2665/18148/05556/8680/19004/0002211/16041/05128/9912/0012844/13210/06228/003004/9519/19569/18637/2285/9775/16088/014137/4824/8880/02181"
38,"529/006835/19760/5023/7534/019360/012471/10849/09057/011178/17897/013833/0002984/0017425/16663/13750/19589/17617/0019767/14816/0011117/000950/15058/006229/7379/16930/003585/010052/6111/9687/17832/14030/18465/9990/13617/4417/0013400/009740/15467/6754/0016234/2321/6417/2266/6131/14223/0271/002772/11988/0000968/2932/0014372/0010649/18779/760/014512/0001594/8507/010168/019437/3671/0017070/4549/4364/019040/019681/4177/17885/12415/0577/5505/004451/011625/18562/009969/377/13677/5194/15082/1503/9086/1390/008972/16682/00361/0008651/13364/016001/0006741/5809/4713/0010462/11981/06133/0011183/6868/19609/3835/019540/19445/0012667/14742/0011505/0005845/0775/004340/4115/2072/9269/18895/3414/014741/14127/12722/03011/10549/0018722/09092/003948/3920"
39,"17578/14116/005370/4951/0013392/6549/0019853/17592/14507/016763/0018062/0684/0013391/0013308/004840/333/07959/12501/5078/8162/01782/07113/2206/0013731/014456/002301/014850/4856/000914/07783/3976/012888/015094/08839/004036/18423/008749/19058/0299/051/12659/686/9869/15191/2207/192/7698/4482/013636/5835/890/011022/010315/18794/9516/0012074/003152/5701/1459/13807/0014612/4602/08982/12657/017355/0013977/18593/004203/7772/7887/8353/007382/8043/10332/08534/15056/16599/17409/7603/0017303/02342/7819/17384/12556/0019305/016061/10391/0007710/9858/02219/17127/8398/04297/4505/12279/11604/18307/9695/018418/3901/0012391/0004883/19258/18775/13837/0014206/12959/7556/9298/08478/1132/0013208/0019229/07778/80/010329/0002001/0001245/0005646/06353"
40,"0007069/1707/1868/11446/0007046/14026/3801/0015281/0014323/16549/015078/10388/12865/3630/06443/13360/13702/16551/0010057/15823/014513/015623/13366/02901/8458/5446/10362/0016584/0010771/018378/006913/17426/17697/12550/18014/12743/3580/4589/019797/0003773/0017102/00559/0013110/6745/15514/18193/03492/0017834/2657/14574/2550/3712/009117/03796/19480/00932/007133/5502/19218/11352/11757/06225/017711/012067/6050/1083/003617/13060/09598/017870/13710/017417/6040/004540/0010028/13201/2437/7451/0012111/17914/9812/126/006244/017763/19721/841/05971/19793/002716/6805/10560/12064/08237/2245/02381/19335/1047/8464/11782/300/0001748/0010858/0015769/12730/3177/09315/9390/0011241/17925/395/14370/018848/3675/11734/13839/19056/0015471/018522/67/8662"
41,"2372/05140/00641/15737/9796/0002024/13048/1139/9785/18377/0014610/5274/0019124/15924/0002849/5204/14478/13141/10515/2490/0016423/11882/5050/19618/012397/18569/18351/19945/8605/6337/007211/012413/13031/13399/688/13215/008614/14313/8644/12868/019421/11946/7542/018723/13997/016785/5516/19701/04252/017750/4275/9917/9308/4025/03862/0012560/1059/0011656/16625/16020/311/013840/0010364/12715/6336/2477/0011308/16588/011230/19114/1477/12269/05320/0018437/13414/09316/19876/02904/01400/01110/14559/014299/012394/0015127/1431/12152/8807/00966/0019725/0009556/04286/16034/3241/4477/0010996/13665/15348/2967/014658/16794/14702/014477/5357/01368/00143/15080/669/001392/10540/5338/04548/3320/12664/14893/4427/12311/04841/003925/0009363/18272"
42,"18406/0010129/011647/0019750/013857/17491/0013077/12092/007196/17176/13435/13461/14145/02817/018531/7560/07688/014376/004796/0005360/3382/009916/8279/17045/2006/09911/14964/0014916/0005027/6893/1054/7165/0009618/2347/08071/0009011/011170/017243/06318/16905/01350/5319/05287/0016608/016003/3476/007529/3475/05907/17095/11160/12786/016704/459/1756/16747/0015489/14722/015283/17815/013894/5430/16058/0630/4761/5750/1061/12283/004388/8283/012782/006753/2158/014867/17004/014100/008645/0011821/016821/15766/13444/0017346/3220/7633/03332/19877/0019642/0015284/1568/0008928/7548/9414/0017507/0006205/06002/07449/014120/6859/019143/6659/017476/142/0011601/03213/0011910/14545/4558/014616/10733/9289/0003157/892/0019075/19065/8992/712/016816/3636/18135/19741"
43,"07552/0014425/4932/14833/12331/16390/015510/3269/003992/001362/09016/8817/356/12149/0016965/0015826/0003627/0014949/09931/3156/4512/5435/017334/0014222/7818/0015602/0012486/8576/0017031/07496/13555/13104/19130/17255/0013361/0001957/13443/012372/4550/6311/3723/0010081/19382/18653/0011561/0011700/0007063/14619/8472/11669/3293/4784/05198/15523/12965/6358/6523/08895/0013549/018340/1598/019707/3598/0010231/12369/15342/3909/0001841/00467/12241/0015627/18519/02953/0001106/17793/0001602/18335/010614/01035/04227/0001980/6175/0009564/8000/003768/12462/013695/0004067/0011789/06109/16046/0010298/0012681/7764/03154/7728/15922/7488/19534/11502/009802/3123/14052/714/6114/013456/010010/0015102/7349/018820/14692/11525/002673/002260/725/0620/0004850/18694/06107/0014306"
44,"0014528/4174/014534/5425/14194/01405/3291/16646/9429/04662/01909/0010229/4056/3473/0016642/018177/3450/4413/0019737/6092/16613/010201/7880/3592/8831/9405/15860/0017613/9062/14326/0000980/11014/1130/1749/5343/0017991/5133/016191/10418/0016133/04407/11818/011136/8821/5883/019712/13797/0016766/2599/13622/6673/0001845/10648/11930/08898/04017/0017949/0015806/4695/13107/13374/17896/0010026/2370/15377/9040/0019626/3788/583/8658/003798/8330/012267/3104/2784/018827/0011805/15186/09124/005318/18214/007299/12563/15497/1137/0011856/012800/4864/0016166/003077/12048/084/016869/0013709/014643/2993/12741/851/16447/008956/004581/0012832/16623/0014484/09403/10986/15915/005744/11421/4980/8743/0010104/008098/0013411/00353/2311/955/0018690/285/3494"
45,"18179/16522/0001226/0002834/17173/001632/17849/16554/0011129/02259/013199/3489/7874/005848/0016331/15449/3403/0704/12919/1877/06625/14151/0004916/10389/1995/12442/13109/001016/18565/14228/9735/010199/4957/9939/0017670/1833/0019355/9030/3769/0006777/0006607/046/03693/07423/9443/14782/11621/004152/007946/01745/019394/13888/08742/016744/004630/19378/17591/0015932/4876/6987/001417/6930/16799/5836/11360/3018/14817/5652/558/1659/1501/05768/0015834/01296/5304/9345/05591/03102/0012278/19323/19663/4369/3705/04128/00137/6062/6509/1713/2519/0015476/6317/0018180/02911/15517/06145/013382/0011139/15247/9817/3599/016155/7168/9768/9182/0009707/3691/17373/0011287/4651/0017230/12438/0018455/19692/4224/003043/11320/16959/06541/015280/6790"
46,"16189/0014623/16862/0019262/013303/15159/0013862/3503/748/010330/10975/3425/017981/2286/004893/001921/6616/06593/15861/16824/11711/2067/06715/013922/10377/0013786/0639/15546/6927/2360/09039/17382/18319/3470/5055/2856/5745/001204/5819/11328/06428/08607/18777/15360/0016357/08515/8068/16631/329/9292/10441/05898/11426/009857/0017774/0014839/003990/008078/003201/7230/06134/3381/7692/14608/6234/0008191/0006497/9528/9465/3219/15701/8941/003646/8226/17178/2765/12272/0015383/3267/04577/03941/016513/17169/00911/16008/5448/2082/3185/9274/0002720/5978/14783/16870/003756/296/2547/15488/365/9552/1334/19077/9659/9449/9046/10157/13253/0005267/07980/010160/5131/19643/19416/8402/013800/16915/0003158/013717/14094/6881/0014578"
47,"17730/00224/9794/0013196/011025/04223/8354/6292/9236/14158/14920/01928/011437/005414/016027/9466/3086/4446/16843/17262/0014011/14269/002666/0019545/0005876/2284/009395/0004696/8625/4475/0011050/07973/013584/15455/0018414/0004862/11464/0004555/009255/116/010783/0019974/0014123/0019933/8851/4489/11332/016105/17953/13539/0012600/15927/03405/13170/16968/005373/005039/003860/19336/13466/11624/10367/02903/0004960/0014454/0010931/14703/882/0004090/8225/003522/018251/04262/5462/15184/4034/0539/10161/15953/0007226/2620/16090/11233/0015239/7704/15477/06604/14087/010061/010892/12084/011002/0012988/11000/2566/272/07222/06555/017519/011191/002116/10823/0016007/8388/14637/005415/0013525/14903/0001848/005440/2623/7391/004786/18152/0004363/17043/8349/4391/06267/1279"
48,"08769/8129/5209/016929/0004544/7935/000811/011468/005342/7892/7501/16692/02556/18439/004629/8518/8627/016654/14955/006001/6639/7461/5395/0017375/0011242/01891/3772/640/499/0009584/0016881/1743/10351/2446/0013708/17887/0017760/006479/14185/17595/18657/15160/01376/14339/1542/9593/10551/6702/00798/011506/05989/7307/18174/16477/08814/2434/0003830/5945/3357/015859/8862/1338/00394/01426/4673/15707/02497/4138/18867/3380/0015540/0016261/12070/0013998/15726/0015077/7526/16830/871/16101/1452/15919/0013843/018012/19660/16974/13344/3153/0016440/4912/17166/0019603/12666/13011/009844/001025/0003276/01196/13955/19822/10993/003294/0019029/002217/0008848/3731/12732/9795/16230/01121/5566/11430/0010794/0016665/10334/010116/07848/18790/0016724/0014259"
49,"05383/17233/0011570/3390/0007788/16293/01590/0018352/0006219/01763/3033/17110/489/010529/0004981/06692/8238/0018927/06067/011354/18717/7417/009323/000809/018959/0011135/14218/0016664/4628/0006076/13573/012129/0011210/1500/13816/00026/08016/0017565/0019476/11754/8803/2703/7719/16900/004236/4114/03055/0013976/08157/18392/011265/10091/018106/1894/8444/011708/0015852/09542/0010488/786/3447/0013891/0014190/4015/13842/13806/6319/2939/0004186/05863/0015951/002302/5197/008567/01487/17920/0005358/20/0015637/372/0006491/001143/18510/5548/0013147/3351/0391/03490/6834/10923/5822/3933/8198/0019279/015976/2592/9660/10432/03431/15589/0012989/15658/12453/4643/001515/8089/0012891/7917/19990/12433/8373/064/8965/0010972/02162/09563/12575/18586/1256/0001072"
50,"0017632/0001237/04431/03283/10798/012399/2763/18504/0010806/008239/9759/13254/16980/0018534/014010/19281/7863/011773/0009130/8224/018625/15996/03399/7265/15537/0007426/02232/12934/013601/8329/1899/09883/5658/0012520/5944/14724/02946/015386/15625/017932/07979/0011879/7964/2886/0007521/08414/016685/18984/19194/013470/0014688/8739/004830/06950/00502/02698/14576/0013526/0019946/362/16680/0013312/0005756/0018937/12292/0016023/09568/17321/005827/19620/0002713/5125/9674/010989/11471/02139/3741/007208/7878/0010565/002112/04837/000589/7854/301/011514/0019400/3713/0012027/0014851/1254/2337/0556/002998/6566/0015369/010270/12797/4144/7314/676/4557/8105/0004080/014264/5094/5880/02492/12451/013787/5956/0007000/3297/7384/12795/02944/017693/5679/006274/0014119"
51,"019127/02925/08144/0019388/6315/0006606/16618/0018308/19451/11396/13765/16468/015412/010075/0013582/3482/013578/4922/01584/010582/15588/17987/11336/018926/004771/0010934/0004155/0009294/0015936/0001535/006156/06937/0012001/12672/7655/3947/8231/7876/18793/017825/16217/0013968/13679/016874/004588/7179/0010687/0015649/0013947/0010807/2626/0017146/11255/12379/0017814/08731/15414/01759/019835/001817/0012869/8174/0017828/0013659/006038/0001548/13404/12963/647/7642/7662/8417/0014567/5592/005/010394/0017891/0014936/2863/4368/09863/18459/03584/19584/19930/2636/016067/014220/14772/8501/11544/018077/18027/18264/15908/12765/8181/17645/08132/013429/10439/0011038/0018270/0006289/19297/007907/14213/18237/018812/4354/2486/8610/0006613/03616/0004617/14625/019911/07264/18858/7327"
52,"001816/19499/0019170/0015209/8149/011702/8122/0212/205/007945/0018918/7312/14311/13880/0014789/16093/019108/0017564/9985/16946/018763/18761/06210/5277/3866/11751/5362/0017245/011371/0010819/4686/15198/006249/17060/7049/8953/17654/17309/10678/08426/003884/0005057/03725/15644/16429/1668/0014486/4366/0013732/006979/10466/10863/15338/12373/006744/11849/0011836/511/2128/14631/15438/0631/13776/12607/18082/12911/013106/16031/0004963/9517/005961/0014141/9702/5351/006534/13511/17314/0014349/6057/8301/13681/0004616/7182/2244/15988/13774/006583/11635/0003050/0019656/0016844/0002415/603/266/0018241/06085/14268/7458/12895/0014750/7099/0017871/8240/470/07835/03252/08843/13120/07192/4178/2561/13890/18833/9602/0005987/0016476/3628/4245/03898/017437"
53,"004410/4778/2020/4130/0014005/13798/17310/009634/10779/19703/01046/006405/0018539/0014283/0011922/12378/0015426/4996/0010832/9388/018498/15273/0002829/12349/13252/014406/17593/0007830/5478/011231/3601/15129/16235/14154/521/0017025/12822/5504/4279/011142/16302/5534/010513/07421/0011091/04681/9250/019986/8950/00472/7801/0013983/363/6861/4421/6406/001366/14872/5878/16157/04061/0848/012336/3100/017546/10467/4697/016098/012114/19673/16803/0009518/1751/003456/16962/14557/13486/13245/13114/7981/08304/012240/0013356/07209/2859/16521/6087/0016743/106/014279/0011829/948/02004/14073/12906/17466/7777/3416/0013030/19858/14441/15420/16758/8699/014743/017416/0017430/916/6245/7535/14617/8549/011429/02000/04836/011565/0007050/8613/10657/1800"
54,"9679/19806/17242/17954/0014250/18750/4600/5550/7056/13337/006215/5372/05561/3721/0016340/0014758/0011831/02611/7975/008031/2757/17185/0015456/011591/935/9567/0002027/02387/6141/14577/10383/9585/3632/012591/5858/010915/16144/12096/8827/19339/0014050/1080/9625/0012435/0010769/018079/0011350/0019967/12515/0011902/10821/018160/5632/12005/9191/19109/8784/014109/13966/19022/007330/003301/01401/16714/0006994/8235/14184/4731/693/010659/17348/19619/1305/14768/8127/11390/03696/15848/003200/6750/0015226/006029/07693/0014392/3887/8737/05097/8399/14694/18567/15866/16464/0016635/4087/5193/1705/6743/6003/05875/016795/002908/14128/14992/16865/014628/13138/5746/10289/018506/016535/10789/013010/5363/15843/962/012211/009841/2495/7219/3122"
55,"769/5431/06600/2957/19931/3658/002261/12454/03622/6024/3502/17833/11546/012407/8626/0017604/0010105/011221/0002223/019547/009810/006605/0013711/7491/11465/2303/19867/003701/13733/12136/0293/016754/4871/9295/18799/0000617/2431/14017/8878/0004585/15075/15714/18897/3942/0002433/2668/0017664/008213/5672/16699/10816/1667/11609/16143/1189/17731/7132/013848/001024/7040/015000/0011750/1913/005444/007718/1032/012400/3937/0001027/13112/7412/12748/5554/5222/9772/10030/11740/0013163/7161/10004/14671/007941/01814/0013741/018951/002234/9372/6504/12239/19796/1488/7632/7615/8182/0019814/004143/09942/16622/2920/04459/011645/0016499/0014952/1286/15301/14959/019762/06675/6817/014915/0012738/002310/0008793/0006629/10750/06904/0006158/0009318/13191/9534"
56,"18759/0005067/0001369/0000146/0018191/0009023/015802/19972/4255/005439/05217/0016779/0018552/3455/019039/0003829/0009223/017380/016804/14396/08264/10225/003851/0012858/7665/13882/0019874/011827/6808/13057/15587/19743/5150/06880/001532/13023/4593/0018751/12364/016882/14699/12125/012725/12419/1272/0018754/017649/11638/06962/004231/014998/1792/0014602/0018023/0002424/0010890/17134/0016055/11143/10453/3443/4480/06572/02005/04157/0007866/5932/0011758/019831/16828/07689/03076/0005737/017107/10308/4496/15846/15423/13151/14769/02460/011374/2572/16455/0018584/4926/0015190/9683/0012069/16394/8698/2661/014342/08487/08032/2791/0005215/04990/1836/003065/009307/012739/003653/0015993/16784/015571/005092/13855/005963/220/018862/14348/019542/4006/0012036/1221/19740/1478/17702/0015719"
57,"1458/7625/0019236/16275/2318/08158/009306/1267/7323/08700/874/017568/428/0012727/7638/12146/17912/2429/0010894/011500/0015100/0018162/012790/018732/1711/18734/07018/4712/10572/011899/10305/05089/0013831/11487/4086/03277/19929/012144/12526/0014290/16219/16339/8824/03480/0015702/0009956/15663/1136/0017037/011816/0012405/0011192/8488/000045/15118/14672/11163/019827/18381/4358/0011730/3393/08741/3463/0013423/0010076/00407/15561/0953/009779/8103/14771/18914/11871/18555/15997/07462/9138/007958/002129/13415/0017267/0482/2664/016970/02989/13378/09751/0015319/7796/0015653/05460/04028/3483/19513/004372/16575/17463/19023/09095/0002516/007020/03710/12710/7029/707/0003422/010635/8138/18648/0013054/11823/18514/8176/6144/14670/13598/0229/16979/11366"
58,"013071/0003092/10946/6530/06705/17893/9183/01895/15483/4476/004898/13157/010323/0008938/15379/18871/690/6582/18574/5130/004478/4207/10573/01879/009104/0012393/1191/009498/9964/12095/17201/2341/0010961/0009131/03848/2865/18488/01946/5625/0018489/0007100/0015275/2699/008634/10369/11628/008766/0012334/1210/0011301/004680/2291/0081/0002582/11901/008799/4147/2712/16208/13835/0015460/012212/12179/16775/0010419/3678/07971/18045/15897/0003430/9235/10207/12682/13294/014704/16952/3645/0014365/4449/012818/002894/19325/8785/04693/17665/007137/700/12755/14615/0006470/8050/17274/9226/12466/10476/11614/0018635/18878/957/019452/17087/16872/009339/0011149/10509/07807/19952/05296/0718/14297/11112/8459/6161/14660/0006081/004832/17548/013381/5587/9809"
59,"0004882/14723/17034/7440/09287/9256/016286/05374/014466/05643/0015469/0017250/1439/17144/019066/07639/011344/8319/15858/10458/0014763/10133/02193/05519/1871/10589/10713/018141/13079/011033/13124/2782/6869/5482/16605/19142/9479/019633/0007804/9477/15315/014761/18210/4799/09721/011979/9109/0015124/014739/10448/0016112/0005613/10721/019111/19278/018345/0018553/17487/178/6011/05727/07648/14546/06408/5895/19883/14457/4790/0019392/0014755/18958/905/002019/1582/004632/13784/012290/900/08850/2583/5458/7643/07016/0015949/16912/0012200/15021/1208/18908/69/11346/0010692/14663/12887/4163/0017864/10896/0013293/2386/0010662/0019064/0011041/005105/010290/01920/19504/0015387/4792/11983/018290/17705/18528/0619/19018/07998/0016760/13388/12925/17770/10403"
60,"12601/5861/18973/0003583/0011588/012625/5955/12876/19616/017747/0002376/0801/03674/0006585/5113/0004379/12219/01954/17442/10337/18863/4694/5710/0014497/00625/004068/01193/959/4539/02343/11357/19596/9879/5982/008663/19717/12156/0017619/017573/0019331/2111/6791/15479/2773/18561/2891/540/13091/889/019706/015575/02461/177/18122/14044/14634/119/0012030/9977/4920/3040/015946/2867/0019837/0012943/004385/9284/08431/5135/7070/15712/01304/12/0016801/7303/0009061/09143/16659/004892/0018525/376/008782/10401/19714/011069/13483/007111/018679/2156/590/19842/0018768/0002475/10631/9681/19000/0010413/18281/1647/04307/0015158/0003960/3842/0007061/09838/12019/4759/12315/15713/1215/18857/17880/1900/02012/019178/2237/17343/5021/12460/0012967"
61,"017523/6312/0019934/9239/16879/05012/3010/0007811/014874/04708/6999/3149/09644/4323/013027/7422/0016639/0816/8312/3136/16774/019356/0014430/0003180/03231/0019832/04742/0018532/0011595/15110/014450/15687/5772/0008484/1098/3795/07695/5452/005765/12805/014921/12022/08347/4304/17601/012510/8142/9185/0015851/13421/11232/16248/13019/11469/005542/703/7034/15010/010570/15261/011632/008143/16418/0019683/011698/0001406/5786/001574/010844/17207/0013283/09119/13323/001075/18684/1658/11904/016600/09670/015359/015767/018719/016950/0019477/10723/09884/17952/17092/005386/13898/0018886/16921/04997/6737/012643/7326/8114/11574/017090/5126/13217/10803/11402/9918/2428/03876/443/0018872/0011086/0008212/016751/17811/8891/0002440/13230/3509/6007/09753/11093/007650"
62,"0015808/05144/006397/12647/001852/016616/0014629/7714/18485/4195/13270/00574/017820/11612/2282/17945/18275/2958/7364/6351/13975/920/0015608/0010809/0011095/8629/007586/7712/0012760/001266/9711/06684/15074/017105/996/3134/17605/7268/08624/12845/003517/04253/13121/13427/11541/0013761/08939/0010833/11769/0014281/8837/12404/0016010/004998/14312/4492/7626/0013587/0017369/016907/4383/0010285/2478/0018451/16677/6254/0153/9653/0010617/7472/07081/0007145/0015499/12928/12769/13650/1364/010672/0007573/05279/6501/03384/000967/18520/8877/0013272/0001561/18987/11435/13923/15693/0014605/2152/04044/3167/0017111/09031/0008915/12033/012388/2136/0018109/5141/014156/014325/18591/010758/1141/15789/4504/18963/9112/014794/7740/15447/5518/00727/009376/14836/002969"
63,"17450/7363/0001710/0017443/76/18849/16773/4094/10550/005901/18930/0965/11790/01489/3165/10358/001562/018069/17641/000536/7221/0016265/015337/12443/6916/736/6961/11476/0006656/02385/019702/781/006097/1159/07751/4939/7400/006986/10106/7517/0019074/0002489/0002098/5489/8499/6864/18575/005104/1456/3436/17393/14695/5740/16125/14517/6078/15109/19094/0006446/17460/06047/05885/0006471/010111/221/05536/1214/01148/15698/012655/0013314/11123/17212/6757/0011229/0012867/10664/6830/0016947/5165/0010840/1253/07030/5292/009718/18989/0017602/0013452/0019800/07757/6825/15334/6548/015671/7855/0014018/13008/12823/1199/16490/19606/0008584/009111/04310/16928/009833/010428/2313/8242/013194/01974/0013436/2290/15558/014811/02855/0007589/008519/612/013883"
64,"14426/08902/5231/07037/10228/0012444/4355/018890/12752/8241/00743/16813/0014879/04533/12824/08532/001925/001551/5307/543/12810/08671/06290/9419/04736/0010764/04650/0019925/04760/6740/571/018311/005969/18143/06841/5497/11300/03770/05674/001924/019035/6445/15090/5552/2952/010928/13190/5680/0009620/0015716/11267/8343/5181/10469/7852/14420/7175/11311/4498/0017988/0016798/2714/015020/12176/0014258/14899/09232/05158/005466/08798/13238/08694/0007795/13179/16607/0003368/17657/0013499/50/0019549/19594/0003247/5459/012015/0012827/009217/3210/011304/1727/10955/0019426/03945/7115/0010306/0011799/01300/1410/9037/6467/017010/0012577/16159/00912/02333/16949/8345/009527/007425/7039/9701/001691/005040/13914/11837/0006104/12950/0007619/18088/00154/003176"
65,"09888/08600/1201/015468/06169/16237/008849/02641/1992/15552/9949/11680/18389/018052/16811/15547/0017812/17077/5385/11225/002975/7582/0002456/8057/3449/383/06360/18979/01752/4272/9204/4940/4064/10932/3607/10867/14448/8096/19444/005106/0010259/7502/6147/9605/4346/9010/02576/19987/19404/9750/17599/4179/06776/05707/0012135/18603/13522/17278/0821/1625/3970/0017225/0008090/18126/12291/15013/1277/006533/14382/0009144/0018806/4072/484/0005230/0010775/012492/10498/0011832/0004083/13250/0016469/018605/0014233/16667/17296/13045/0820/9495/14803/16106/011533/5145/2895/15815/10835/1240/009638/1552/18791/0012145/0012198/04433/0012849/011642/9384/10083/0013488/009600/012933/0958/01531/7716/9765/018915/12455/3557/0013329/02037/0010460/16329"
66,"017682/018365/5244/18234/009120/2086/15024/0987/0011375/05063/9610/6831/013498/15202/01486/14958/0012302/17086/19457/12060/3160/0001523/7536/7350/06439/0015840/19861/017320/3183/06540/5220/013051/007760/17719/5770/0006338/2502/0016367/0018990/4453/12634/014997/12079/0017219/0019167/7620/01858/019227/19186/003967/007944/8883/06060/06829/015023/3196/5464/0013385/0006366/19640/17757/18630/0015254/02289/281/13974/12371/007060/0005557/0014479/019870/9283/08164/16909/08695/019366/0015143/1881/10150/0010042/01447/010703/9531/0010831/3218/7565/0010094/19240/0015030/003875/9875/019020/19454/07873/002137/14603/1786/0015316/19612/1821/011236/0013896/001147/513/18216/012191/0010742/0002416/16012/18101/18201/09438/4868/3227/10435/7690/11886/0016875/6204/0019984"
67,"0163/0019649/0014844/9192/004909/6670/16388/9366/15274/08200/0016245/18604/10304/017283/3847/06654/11571/8175/004380/3037/7295/00994/13597/0014543/019317/4205/0018819/006546/7579/11526/010873/13756/15868/0018017/1107/003968/9622/007694/002541/8228/17513/04318/0014322/658/5540/11358/011867/11659/19617/19629/0012387/17659/006477/0012139/19538/3359/4437/16556/06517/17868/02808/4804/04521/019755/8383/0001664/6415/0412/13581/16850/11685/13480/6328/18058/11537/019157/008232/09017/012010/0009215/002090/11618/18978/5784/8621/5929/11056/7064/12087/3538/9533/3573/011644/1008/012631/010706/0010430/13089/4102/0015262/10114/2123/002631/7644/13131/0011527/08456/06505/016868/05450/18483/00671/77/0003498/0002008/00766/1615/013092/05911/0015904"
68,"1718/6599/5757/019554/2420/03552/15189/09455/0003321/2992/234/15597/08590/11016/005227/005588/1520/016054/1700/6332/0017713/12361/12581/13934/12199/817/2040/17474/2023/17913/4464/5915/002401/4062/11889/1004/09713/000429/7668/0015509/7839/6293/8786/9760/0003228/611/0018492/04288/06203/4865/12939/0245/10772/06035/13887/16593/4572/02885/0018749/16454/274/8219/00664/013494/17156/6910/03791/0010654/0006212/03370/8296/0016585/019568/17678/7108/0650/10339/009656/9692/0017306/15855/8025/1448/0010588/8998/13026/11387/14407/2334/03936/0011649/1940/9689/11881/0018420/13950/15605/0006375/0015583/0011937/13930/003539/19492/03886/12558/11353/012061/13809/0015101/7618/14451/2487/1302/18430/013667/4523/19233/08045/02114/13735"
69,"01757/016432/015123/0731/005347/12629/015368/2322/19836/2755/0008744/19954/16942/5631/14863/16594/7409/0017776/9891/12851/18358/0011384/8889/12358/0019856/10344/08776/12806/6202/15998/11795/013373/0016502/008914/003346/00262/6422/8594/19141/4329/0011955/07748/13247/8922/16782/0601/0010380/3477/15689/00593/15945/0017229/11152/13198/014414/1709/17984/390/19834/3441/870/0019530/0017698/17633/11862/733/0011290/019464/11709/746/006807/10221/09440/010611/0019311/13500/013635/7067/17918/004332/010597/0013910/8819/0550/0009663/0013941/9180/8491/2559/002759/19585/10146/3771/0017706/5411/17850/010622/007001/001768/17117/12426/11339/0012908/002529/8341/009311/9828/011088/0013093/1128/0012801/0017183/0018733/0004842/15478/9551/8013/18086/0009632/05221"
70,"7939/156/19347/0017402/14860/017137/010117/15935/16849/04425/014555/02375/007135/3661/11684/7832/15559/014642/16323/8155/0017041/1471/19807/04767/0013040/014969/17614/06640/19361/0012039/0018716/18470/179/0006620/0003352/8926/10643/0008879/13867/000812/13664/19212/3794/10906/5200/19747/05664/008300/02427/12029/0525/017905/005803/14294/3224/6906/16384/011291/5840/095/3554/01776/0013752/008618/16322/012897/06159/0018882/12935/7123/007960/014418/19364/12421/8060/4890/007833/4976/003954/0013788/11929/3258/3446/3821/0010487/03892/10861/17268/07842/0016988/2778/5218/19292/002531/4055/04308/7725/0001062/0012319/018792/018386/012592/1798/1702/15621/6429/011029/14908/1387/4296/4564/01944/1854/3531/12975/1509/0019905/009671/4246/0002682"
71,"005056/1472/14506/001144/014310/0012956/2758/4698/17933/10623/12110/002066/002935/016411/13338/15974/9754/6727/12565/15257/3396/15955/03686/0001573/12346/004934/7369/12170/16562/2228/01246/16493/15794/013757/0012871/1442/0018394/8874/013781/3609/18613/14013/016442/1206/6622/0010454/05670/0019257/0016059/11172/7155/013657/7823/2825/6887/10000/15527/0011854/8774/19830/0010209/08707/015462/19497/17863/004384/2954/08555/11466/15580/006595/13059/2590/1938/14630/4826/2029/11992/17749/12390/16925/4267/02344/0013291/0009174/16660/14974/6034/016047/6430/0008141/4654/15511/6769/002704/7057/4627/0012962/12549/001232/836/018443/5290/10691/0015798/0019306/14779/11413/7250/3682/17295/14904/19030/0016805/04089/5352/0019567/09572/06218/01764"
72,"0011722/10719/013319/0014809/011717/13028/01434/0003340/15299/07621/14384/18140/19188/01847/1735/17615/8636/19739/16555/8530/6083/7106/11180/0019533/3150/10865/17016/0009344/16269/11984/11665/0013352/009706/9789/01527/19922/002606/1457/9398/19379/5275/01158/05014/016409/3717/0010393/0011177/2447/0008216/011774/0012969/2104/19181/04/19982/506/7032/0016048/015930/5644/8668/19904/14968/00528/12021/3373/10564/0015193/0001827/10773/17673/014374/0016366/14715/0001864/5345/009991/0014355/006718/1124/013738/16537/15017/0014923/0011057/0005626/3780/8582/18156/10700/5693/16221/0003533/0013687/799/013017/0019013/0018376/15144/14329/15264/013380/3883/011724/006356/0014662/01259/008168/007515/002035/18704/15642/12553/15775/15394/12831/011872/9012/0008380/0019491"
